#OTUId	62.AVI372_T	07.AVI413	54.AVI323_1	26.AVI335	40.AVI446_TA	66.AVI404_T	29.AVI420_T	41.AVI471_T	15.AVI440	63.AVI372_TA	68.AVI448_1	39.AVI446_T	02.AVI383	57.AVI352_2	36.AVI429_2	49.AVI355	03.AVI403	37.AVI434_T	65.AVI376_TA	21.AVI340	01.AVI369	70.AVI406_T	59.AVI354_2	58.AVI354_1	46.AVI332	60.AVI362_T	64.AVI376_T	55.AVI323_2	47.AVI349	11.AVI433	44.AVI327	33.AVI427_1	30.AVI420_TA	28.AVI390_2	48.AVI353	25.AVI334	24.AVI333	35.AVI429_1	69.AVI448_2	32.AVI422_TA	31.AVI422_T	45.AVI328	34.AVI427_2	12.AVI436	20.AVI339	38.AVI434_TA	16.AVI470	27.AVI390_1	19.AVI338	67.AVI409_T	13.AVI438	04.AVI408	14.AVI439	61.AVI362_TA	08.AVI414	56.AVI352_1	taxonomy
OTU_370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Amaricoccus;
OTU_286	10	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alishewanella;
OTU_292	5	0	2	0	0	1	3	0	0	2	0	1	1	2	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	48	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
OTU_17	1515	298	758	171	1938	129	241	377	1217	1154	286	2347	559	554	261	1235	71	97	455	202	159	608	394	384	103	203	305	2455	153	1168	189	300	264	115	225	203	232	292	292	667	446	195	704	1255	318	177	955	45	128	127	858	224	757	214	742	538	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;
OTU_1269	187	30	63	64	14	18	9	8	3	150	12	26	10	72	14	35	26	1	9	47	70	18	59	103	38	4	14	124	372	5	9	12	11	29	4	11	25	31	13	73	98	84	45	19	11	4	192	56	9	14	15	14	13	0	17	65	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_58	36	18	90	66	157	31	30	37	446	53	97	83	134	96	72	49	4	14	322	144	143	116	40	42	30	38	128	643	125	239	117	141	54	37	13	172	85	98	63	27	38	90	143	458	78	66	77	20	207	37	72	56	52	33	27	115	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;
OTU_34	162	15	567	66	122	95	20	88	77	164	154	135	215	290	48	126	73	24	593	58	107	173	73	70	36	172	613	1196	414	89	214	181	19	278	757	86	66	104	242	66	48	83	391	268	59	80	21	173	311	28	23	60	59	228	19	253	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;;
OTU_41	335	119	37	41	197	217	1626	100	204	365	57	180	329	335	425	150	10	12	12	715	6349	111	307	828	65	96	18	49	20	340	60	497	1779	269	3	146	529	350	164	30	24	85	511	127	22	27	359	302	6	5	284	1197	112	76	97	398	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_44	385	191	7	297	167	275	242	3	456	420	408	228	109	20	431	586	1	144	80	312	358	132	247	498	92	13	111	7	7	242	51	40	259	80	15	24	233	322	322	53	89	112	81	78	109	133	135	105	96	21	472	407	330	41	222	28	Bacteria;Firmicutes;Clostridia;Clostridiales;;;
OTU_24	1133	571	426	271	353	705	247	199	308	1596	553	288	156	110	947	834	159	49	358	216	1989	514	897	1751	463	170	495	948	189	490	218	327	406	465	18	93	141	587	496	658	1473	244	426	600	865	195	1199	780	288	54	1167	998	517	292	406	207	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium XlVb;
OTU_401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae;Mycobacterium;
